trials,participant,valence,S,R,rt,dataset
1,1,2,left,left,1.0052668118522066,weber_violated
2,1,2,left,left,0.7946255217220528,weber_violated
3,1,2,left,left,0.8412867534226782,weber_violated
4,1,2,left,left,1.141502834292237,weber_violated
5,1,2,left,left,0.9975800425354695,weber_violated
6,1,2,left,left,1.3246499040168218,weber_violated
7,1,2,left,left,0.8652679883926251,weber_violated
8,1,2,left,left,1.1827709540019131,weber_violated
9,1,2,left,left,1.3337697555457602,weber_violated
10,1,2,left,left,1.1726446888997288,weber_violated
11,1,3,left,left,1.384873430361515,weber_violated
12,1,3,left,left,1.8678754249189242,weber_violated
13,1,3,left,right,1.4092790842543788,weber_violated
14,1,3,left,left,1.7127679379025376,weber_violated
15,1,3,left,left,1.792137488797425,weber_violated
16,1,3,left,left,1.2814824645004914,weber_violated
17,1,3,left,left,0.884674506188442,weber_violated
18,1,3,left,right,1.3424029533553927,weber_violated
19,1,3,left,left,1.8454985133804627,weber_violated
20,1,3,left,left,1.4104520732612715,weber_violated
21,1,4,left,right,6.333108198931638,weber_violated
22,1,4,left,right,4.9289780054315004,weber_violated
23,1,4,left,left,1.9670293800623504,weber_violated
24,1,4,left,left,1.3701650294967678,weber_violated
25,1,4,left,left,13.860311833629599,weber_violated
26,1,4,left,left,1.9413806550242207,weber_violated
27,1,4,left,left,1.9286283052265958,weber_violated
28,1,4,left,left,1.1329747507121948,weber_violated
29,1,4,left,left,1.36298508735325,weber_violated
30,1,4,left,right,1.367465002300721,weber_violated
31,1,6,left,left,2.222686137419124,weber_violated
32,1,6,left,right,1.7702333274366742,weber_violated
33,1,6,left,right,2.04367451389969,weber_violated
34,1,6,left,left,2.2589526177808206,weber_violated
35,1,6,left,left,1.2776590490436828,weber_violated
36,1,6,left,left,1.007162693005019,weber_violated
37,1,6,left,left,2.112340539444665,weber_violated
38,1,6,left,left,3.5165870933579044,weber_violated
39,1,6,left,left,3.643068371145969,weber_violated
40,1,6,left,left,1.64980416205431,weber_violated
41,1,7,left,left,1.6887989544000086,weber_violated
42,1,7,left,right,1.5541808601946643,weber_violated
43,1,7,left,left,1.722762069660634,weber_violated
44,1,7,left,left,0.9951655742376591,weber_violated
45,1,7,left,left,1.9358300317784116,weber_violated
46,1,7,left,right,1.5150633925403225,weber_violated
47,1,7,left,left,1.3494970488308735,weber_violated
48,1,7,left,left,1.5913016175965247,weber_violated
49,1,7,left,right,1.3888649088420904,weber_violated
50,1,7,left,left,1.4992076356806237,weber_violated
51,1,8,left,left,1.3853357951971859,weber_violated
52,1,8,left,left,0.9782216610168373,weber_violated
53,1,8,left,left,1.1828690888654536,weber_violated
54,1,8,left,left,0.9878303260467494,weber_violated
55,1,8,left,left,1.204210223530836,weber_violated
56,1,8,left,left,0.8975554962039718,weber_violated
57,1,8,left,left,0.9403688735560689,weber_violated
58,1,8,left,left,0.9235302071957499,weber_violated
59,1,8,left,left,0.9866299842780264,weber_violated
60,1,8,left,left,0.8839566448399077,weber_violated
61,1,2,right,right,1.080372599928724,weber_violated
62,1,2,right,right,1.5029353660704636,weber_violated
63,1,2,right,right,0.9296780200867705,weber_violated
64,1,2,right,right,1.0226495172125014,weber_violated
65,1,2,right,right,1.0312320582994956,weber_violated
66,1,2,right,right,1.1427396505367722,weber_violated
67,1,2,right,right,0.9050727991286607,weber_violated
68,1,2,right,right,1.1134106867102398,weber_violated
69,1,2,right,right,0.8520435040755974,weber_violated
70,1,2,right,right,0.9975933740042033,weber_violated
71,1,3,right,right,2.2082655981730612,weber_violated
72,1,3,right,right,2.1720132982217386,weber_violated
73,1,3,right,right,1.124820606651575,weber_violated
74,1,3,right,right,1.291310733030815,weber_violated
75,1,3,right,right,1.3579538275051264,weber_violated
76,1,3,right,right,1.465879564044436,weber_violated
77,1,3,right,right,1.4478610519973767,weber_violated
78,1,3,right,right,1.6403933214069888,weber_violated
79,1,3,right,right,1.1529138032370028,weber_violated
80,1,3,right,left,1.7350286552513314,weber_violated
81,1,4,right,right,1.77460949647278,weber_violated
82,1,4,right,right,3.191252113731995,weber_violated
83,1,4,right,right,1.4475373513856529,weber_violated
84,1,4,right,right,3.6687690828247153,weber_violated
85,1,4,right,left,1.9736901498397759,weber_violated
86,1,4,right,right,2.2931473226587142,weber_violated
87,1,4,right,right,1.3445207988570005,weber_violated
88,1,4,right,left,2.888037616547722,weber_violated
89,1,4,right,right,2.127954463814493,weber_violated
90,1,4,right,right,1.2848837581737098,weber_violated
91,1,6,right,right,1.5303256932829032,weber_violated
92,1,6,right,left,4.345843373510943,weber_violated
93,1,6,right,left,2.041402151434279,weber_violated
94,1,6,right,left,1.45210690756241,weber_violated
95,1,6,right,right,1.7734278386140225,weber_violated
96,1,6,right,right,2.4030039190683965,weber_violated
97,1,6,right,right,1.6494662322471867,weber_violated
98,1,6,right,right,2.716594835377398,weber_violated
99,1,6,right,right,2.0438774483542135,weber_violated
100,1,6,right,right,1.5585042582489912,weber_violated
101,1,7,right,right,1.8180362537969295,weber_violated
102,1,7,right,right,1.3850427352618786,weber_violated
103,1,7,right,right,1.417620989200897,weber_violated
104,1,7,right,right,1.7068360449119406,weber_violated
105,1,7,right,right,1.4630238919977183,weber_violated
106,1,7,right,right,1.1890502088559773,weber_violated
107,1,7,right,right,1.8713103247235179,weber_violated
108,1,7,right,right,1.3032995168684567,weber_violated
109,1,7,right,right,1.385357683529297,weber_violated
110,1,7,right,right,1.2628468822207088,weber_violated
111,1,8,right,right,1.2054605348124943,weber_violated
112,1,8,right,right,1.1508815869471019,weber_violated
113,1,8,right,right,1.0091532133900987,weber_violated
114,1,8,right,right,1.0237151091382797,weber_violated
115,1,8,right,right,0.8924745135340308,weber_violated
116,1,8,right,right,1.1237132328682047,weber_violated
117,1,8,right,right,1.1854645269731046,weber_violated
118,1,8,right,right,1.0337276649900529,weber_violated
119,1,8,right,right,0.8154191191528151,weber_violated
120,1,8,right,right,0.9189233247413804,weber_violated
1,2,2,left,left,0.8225163496032031,weber_violated
2,2,2,left,left,0.723304488472972,weber_violated
3,2,2,left,left,1.4343042802311086,weber_violated
4,2,2,left,left,1.05955879801037,weber_violated
5,2,2,left,left,0.8534835781415071,weber_violated
6,2,2,left,left,1.1635701632078128,weber_violated
7,2,2,left,left,0.8278855685518134,weber_violated
8,2,2,left,left,1.0583466845814704,weber_violated
9,2,2,left,left,0.8858747435524181,weber_violated
10,2,2,left,left,0.9681427412483501,weber_violated
11,2,3,left,left,1.0645307818298348,weber_violated
12,2,3,left,left,1.1942348263840985,weber_violated
13,2,3,left,left,1.54620924177227,weber_violated
14,2,3,left,left,1.1727298111491502,weber_violated
15,2,3,left,left,1.2778604510842657,weber_violated
16,2,3,left,left,1.349776540903067,weber_violated
17,2,3,left,left,1.1372647785860892,weber_violated
18,2,3,left,left,1.728846296134415,weber_violated
19,2,3,left,left,1.5558972752359272,weber_violated
20,2,3,left,left,0.8494406031070205,weber_violated
21,2,4,left,left,2.117575817636532,weber_violated
22,2,4,left,left,2.2096303957049597,weber_violated
23,2,4,left,right,3.0644275061247344,weber_violated
24,2,4,left,left,1.4778191453613463,weber_violated
25,2,4,left,left,1.7816412500593424,weber_violated
26,2,4,left,left,2.1871625810994493,weber_violated
27,2,4,left,left,2.343544738413571,weber_violated
28,2,4,left,left,3.281605565021932,weber_violated
29,2,4,left,left,3.089031986362667,weber_violated
30,2,4,left,left,1.8646100451796082,weber_violated
31,2,6,left,left,2.401820380975703,weber_violated
32,2,6,left,left,2.6816747289189604,weber_violated
33,2,6,left,left,1.6214664721794982,weber_violated
34,2,6,left,left,1.310002900960654,weber_violated
35,2,6,left,right,4.31365293369578,weber_violated
36,2,6,left,right,1.6588556862246175,weber_violated
37,2,6,left,right,1.8323384574521135,weber_violated
38,2,6,left,right,3.6655132155492063,weber_violated
39,2,6,left,right,10.663615746103044,weber_violated
40,2,6,left,left,1.6657052102688308,weber_violated
41,2,7,left,left,2.3988288494209313,weber_violated
42,2,7,left,left,2.0942725653229908,weber_violated
43,2,7,left,left,2.2687943464221405,weber_violated
44,2,7,left,right,1.438368485192501,weber_violated
45,2,7,left,right,1.3244831176161915,weber_violated
46,2,7,left,left,1.8906787098895184,weber_violated
47,2,7,left,left,1.7998821722469787,weber_violated
48,2,7,left,left,1.309420792739608,weber_violated
49,2,7,left,left,1.3148104099739204,weber_violated
50,2,7,left,left,1.7810047461949512,weber_violated
51,2,8,left,left,0.9370197761590702,weber_violated
52,2,8,left,left,1.1311627863067377,weber_violated
53,2,8,left,left,1.6389657323289253,weber_violated
54,2,8,left,left,1.1061421499370108,weber_violated
55,2,8,left,left,1.1965058487774585,weber_violated
56,2,8,left,left,1.091743607597137,weber_violated
57,2,8,left,left,1.4730713721446236,weber_violated
58,2,8,left,left,1.3511856986998163,weber_violated
59,2,8,left,left,0.969712521228296,weber_violated
60,2,8,left,left,0.9898502044738233,weber_violated
61,2,2,right,right,0.7104496014754291,weber_violated
62,2,2,right,right,1.2767900345916232,weber_violated
63,2,2,right,right,1.0088879812815679,weber_violated
64,2,2,right,right,1.0047169614133569,weber_violated
65,2,2,right,right,0.8394735028508613,weber_violated
66,2,2,right,right,0.7605754481007145,weber_violated
67,2,2,right,right,0.9512137467531432,weber_violated
68,2,2,right,right,1.0081572110558132,weber_violated
69,2,2,right,right,0.8449354649524048,weber_violated
70,2,2,right,right,0.9706374665224329,weber_violated
71,2,3,right,right,1.0345078584942369,weber_violated
72,2,3,right,right,1.5427825157067514,weber_violated
73,2,3,right,right,1.514557209982878,weber_violated
74,2,3,right,right,1.1207804834306003,weber_violated
75,2,3,right,right,2.6643643547623723,weber_violated
76,2,3,right,right,1.5465749400673439,weber_violated
77,2,3,right,right,1.6966948580851648,weber_violated
78,2,3,right,right,1.399973634134477,weber_violated
79,2,3,right,right,1.5625554875657761,weber_violated
80,2,3,right,right,1.2395204881245743,weber_violated
81,2,4,right,left,2.140582554955078,weber_violated
82,2,4,right,right,1.2502278052907871,weber_violated
83,2,4,right,left,2.0577059103603643,weber_violated
84,2,4,right,left,1.4460038165884166,weber_violated
85,2,4,right,left,2.427923874044578,weber_violated
86,2,4,right,left,1.673820724895189,weber_violated
87,2,4,right,right,1.499576081467355,weber_violated
88,2,4,right,left,2.050551791048696,weber_violated
89,2,4,right,right,1.4476192642858172,weber_violated
90,2,4,right,left,2.9236124338993497,weber_violated
91,2,6,right,left,1.170827067051606,weber_violated
92,2,6,right,right,2.2640983441708227,weber_violated
93,2,6,right,right,2.1407849428652903,weber_violated
94,2,6,right,right,1.4615424509175858,weber_violated
95,2,6,right,right,1.1297649168216761,weber_violated
96,2,6,right,right,5.5132547658190605,weber_violated
97,2,6,right,right,1.4554052353534912,weber_violated
98,2,6,right,right,4.888174983951124,weber_violated
99,2,6,right,right,1.9626611398586058,weber_violated
100,2,6,right,right,0.9279064294007873,weber_violated
101,2,7,right,right,1.591390439342368,weber_violated
102,2,7,right,right,1.008724518498918,weber_violated
103,2,7,right,right,1.730441276832168,weber_violated
104,2,7,right,right,1.3760990478716701,weber_violated
105,2,7,right,right,1.4212634985819341,weber_violated
106,2,7,right,right,1.375027608416709,weber_violated
107,2,7,right,right,1.5013363594533335,weber_violated
108,2,7,right,right,1.5015836904046518,weber_violated
109,2,7,right,right,1.0508365676777778,weber_violated
110,2,7,right,right,1.6624616321135945,weber_violated
111,2,8,right,right,1.3270572991615588,weber_violated
112,2,8,right,right,1.0562048927139356,weber_violated
113,2,8,right,right,1.3762693400991728,weber_violated
114,2,8,right,right,0.9397032227329185,weber_violated
115,2,8,right,right,0.9792185505933901,weber_violated
116,2,8,right,right,0.9136427054862148,weber_violated
117,2,8,right,right,0.8011128839205341,weber_violated
118,2,8,right,right,1.03116470910446,weber_violated
119,2,8,right,right,1.2632379689092643,weber_violated
120,2,8,right,right,0.8827453998379771,weber_violated
1,3,2,left,left,1.032096443963452,weber_violated
2,3,2,left,left,1.1383558436675798,weber_violated
3,3,2,left,left,1.5106367031818786,weber_violated
4,3,2,left,left,0.86520297686028,weber_violated
5,3,2,left,left,0.8168576185439815,weber_violated
6,3,2,left,left,0.9014289718699049,weber_violated
7,3,2,left,left,1.0168818646118052,weber_violated
8,3,2,left,left,1.0023544080603977,weber_violated
9,3,2,left,left,1.191443655034312,weber_violated
10,3,2,left,left,1.3826756982665185,weber_violated
11,3,3,left,left,1.5724387683818128,weber_violated
12,3,3,left,left,1.1373990447723907,weber_violated
13,3,3,left,left,2.625357035479212,weber_violated
14,3,3,left,left,1.4190894247357564,weber_violated
15,3,3,left,right,1.5194192413475927,weber_violated
16,3,3,left,left,1.1818273449361065,weber_violated
17,3,3,left,right,1.4129290592314578,weber_violated
18,3,3,left,left,1.527876983672023,weber_violated
19,3,3,left,left,2.2876462821599604,weber_violated
20,3,3,left,left,1.4301741826238443,weber_violated
21,3,4,left,right,2.1759690753556775,weber_violated
22,3,4,left,left,1.5517001892924491,weber_violated
23,3,4,left,left,2.8576476324515556,weber_violated
24,3,4,left,left,2.6186387736477528,weber_violated
25,3,4,left,left,2.018295122398355,weber_violated
26,3,4,left,left,2.5667580346725414,weber_violated
27,3,4,left,left,3.7695177144944227,weber_violated
28,3,4,left,left,1.841152454764983,weber_violated
29,3,4,left,right,2.070325751926249,weber_violated
30,3,4,left,left,3.1847221788488262,weber_violated
31,3,6,left,left,1.5291485680671535,weber_violated
32,3,6,left,left,2.1127842588717334,weber_violated
33,3,6,left,right,2.023961414894676,weber_violated
34,3,6,left,right,2.0005431003455776,weber_violated
35,3,6,left,left,2.558463387538755,weber_violated
36,3,6,left,right,1.825003913511728,weber_violated
37,3,6,left,left,1.4614236054612746,weber_violated
38,3,6,left,left,1.722885899510576,weber_violated
39,3,6,left,right,3.758183326620572,weber_violated
40,3,6,left,left,1.797258379786331,weber_violated
41,3,7,left,left,0.9379564791890869,weber_violated
42,3,7,left,left,1.6013037332050288,weber_violated
43,3,7,left,left,1.0397950363876016,weber_violated
44,3,7,left,left,1.0924563397510294,weber_violated
45,3,7,left,left,1.7690048349996235,weber_violated
46,3,7,left,left,1.0309856836549125,weber_violated
47,3,7,left,left,1.1767243942765377,weber_violated
48,3,7,left,left,1.0704397152425766,weber_violated
49,3,7,left,left,1.2767066750980418,weber_violated
50,3,7,left,left,1.2264704368880461,weber_violated
51,3,8,left,left,0.9700603489564279,weber_violated
52,3,8,left,left,0.956600159009172,weber_violated
53,3,8,left,left,0.9840515220939061,weber_violated
54,3,8,left,left,0.9339283838770878,weber_violated
55,3,8,left,left,1.2831985921309286,weber_violated
56,3,8,left,left,0.970616168713849,weber_violated
57,3,8,left,left,0.8433986333253283,weber_violated
58,3,8,left,left,0.7842845220522117,weber_violated
59,3,8,left,left,0.8069846734364743,weber_violated
60,3,8,left,left,0.8284284259144532,weber_violated
61,3,2,right,right,0.9455221134974183,weber_violated
62,3,2,right,right,1.0803818849147497,weber_violated
63,3,2,right,right,1.01360585352203,weber_violated
64,3,2,right,right,1.129986353766503,weber_violated
65,3,2,right,right,0.9916330631801344,weber_violated
66,3,2,right,right,1.2833151654977328,weber_violated
67,3,2,right,right,1.0302658469509625,weber_violated
68,3,2,right,right,0.9646379085574137,weber_violated
69,3,2,right,right,1.2097781695745244,weber_violated
70,3,2,right,right,1.0613017473028052,weber_violated
71,3,3,right,right,1.4293624903886517,weber_violated
72,3,3,right,right,1.5103045155375496,weber_violated
73,3,3,right,left,2.5356243384682693,weber_violated
74,3,3,right,right,1.1778701048895195,weber_violated
75,3,3,right,right,1.8841242443457435,weber_violated
76,3,3,right,right,1.00896236619947,weber_violated
77,3,3,right,right,1.075856177526291,weber_violated
78,3,3,right,right,0.8550328507123115,weber_violated
79,3,3,right,right,1.1637911543641688,weber_violated
80,3,3,right,right,1.5642713412561913,weber_violated
81,3,4,right,right,1.5649640136344443,weber_violated
82,3,4,right,right,1.4719236911467783,weber_violated
83,3,4,right,right,1.9765558443690316,weber_violated
84,3,4,right,left,1.7656235590358278,weber_violated
85,3,4,right,right,2.1125410471834036,weber_violated
86,3,4,right,right,1.9305806393741878,weber_violated
87,3,4,right,right,1.9408569835044827,weber_violated
88,3,4,right,right,1.9451335888050005,weber_violated
89,3,4,right,right,1.8248186797023658,weber_violated
90,3,4,right,left,1.399501349730069,weber_violated
91,3,6,right,left,1.649104278028727,weber_violated
92,3,6,right,right,1.9680981013951038,weber_violated
93,3,6,right,right,1.2255739864681032,weber_violated
94,3,6,right,right,1.1813176754893382,weber_violated
95,3,6,right,right,2.8756708310779118,weber_violated
96,3,6,right,left,2.3951029812798863,weber_violated
97,3,6,right,right,3.352288444933688,weber_violated
98,3,6,right,left,1.9964756350446649,weber_violated
99,3,6,right,right,2.901148262862995,weber_violated
100,3,6,right,right,2.4159252843835883,weber_violated
101,3,7,right,right,1.0141994531043388,weber_violated
102,3,7,right,right,1.1249277807818499,weber_violated
103,3,7,right,right,1.4713459301597995,weber_violated
104,3,7,right,right,1.7325390592739178,weber_violated
105,3,7,right,right,1.49752309645574,weber_violated
106,3,7,right,right,1.9641269972213116,weber_violated
107,3,7,right,right,1.1170568052906489,weber_violated
108,3,7,right,right,1.5993231174742613,weber_violated
109,3,7,right,right,1.0669016507423446,weber_violated
110,3,7,right,right,1.4552343520840405,weber_violated
111,3,8,right,right,1.0531792389741699,weber_violated
112,3,8,right,right,1.2533140356552182,weber_violated
113,3,8,right,right,0.981803366801574,weber_violated
114,3,8,right,right,0.9359476896458203,weber_violated
115,3,8,right,right,1.0226779041216245,weber_violated
116,3,8,right,right,1.0310378569371765,weber_violated
117,3,8,right,right,0.9588556446227947,weber_violated
118,3,8,right,right,1.1168730029501341,weber_violated
119,3,8,right,right,0.8509063650239586,weber_violated
120,3,8,right,right,1.365623318868466,weber_violated
1,4,2,left,left,0.9678013442096829,weber_violated
2,4,2,left,left,1.0221413104854327,weber_violated
3,4,2,left,left,1.02750693292729,weber_violated
4,4,2,left,left,0.9712697611155148,weber_violated
5,4,2,left,left,1.0199624589083562,weber_violated
6,4,2,left,left,1.154340347434414,weber_violated
7,4,2,left,left,0.9068912139169782,weber_violated
8,4,2,left,left,0.892205262329268,weber_violated
9,4,2,left,left,0.8812666445072699,weber_violated
10,4,2,left,left,1.076391955642107,weber_violated
11,4,3,left,left,1.292048658495216,weber_violated
12,4,3,left,left,1.0783514140643289,weber_violated
13,4,3,left,left,1.306905130331634,weber_violated
14,4,3,left,left,1.324750494246886,weber_violated
15,4,3,left,left,1.3379205023487464,weber_violated
16,4,3,left,left,1.2147747044669746,weber_violated
17,4,3,left,left,1.2297161426221515,weber_violated
18,4,3,left,left,1.2194952144249545,weber_violated
19,4,3,left,left,1.2558035272679693,weber_violated
20,4,3,left,left,1.7351015356210227,weber_violated
21,4,4,left,left,1.92938274910864,weber_violated
22,4,4,left,right,1.6811649997962899,weber_violated
23,4,4,left,right,2.140456408037861,weber_violated
24,4,4,left,right,1.4980487051026516,weber_violated
25,4,4,left,left,2.917429290780198,weber_violated
26,4,4,left,left,1.399950107987229,weber_violated
27,4,4,left,left,1.819173114742352,weber_violated
28,4,4,left,left,1.7543685588237135,weber_violated
29,4,4,left,right,1.8334646715401854,weber_violated
30,4,4,left,right,2.593611871032561,weber_violated
31,4,6,left,right,1.3998520948128366,weber_violated
32,4,6,left,left,2.642710120178243,weber_violated
33,4,6,left,left,1.5684679329119122,weber_violated
34,4,6,left,right,2.3117600088968007,weber_violated
35,4,6,left,left,1.6936374815990645,weber_violated
36,4,6,left,right,1.2079138177321438,weber_violated
37,4,6,left,left,1.7450363935397806,weber_violated
38,4,6,left,left,1.4189602328323911,weber_violated
39,4,6,left,left,4.718236341170779,weber_violated
40,4,6,left,left,1.600099116099057,weber_violated
41,4,7,left,left,3.2508146688447543,weber_violated
42,4,7,left,left,1.3439697513807525,weber_violated
43,4,7,left,left,1.0821322301937952,weber_violated
44,4,7,left,left,1.6583247921231434,weber_violated
45,4,7,left,left,1.0410015992841624,weber_violated
46,4,7,left,left,1.0650315907989427,weber_violated
47,4,7,left,left,1.4440160966195248,weber_violated
48,4,7,left,left,1.2766810715288432,weber_violated
49,4,7,left,left,2.3886193409546896,weber_violated
50,4,7,left,left,1.5505494475485369,weber_violated
51,4,8,left,left,0.7905484287717479,weber_violated
52,4,8,left,left,1.5483830086882544,weber_violated
53,4,8,left,left,0.9706638413181652,weber_violated
54,4,8,left,left,1.2680424450899865,weber_violated
55,4,8,left,left,0.7878213467845738,weber_violated
56,4,8,left,left,0.9532298006759408,weber_violated
57,4,8,left,left,0.8148408701614893,weber_violated
58,4,8,left,left,1.63803277441102,weber_violated
59,4,8,left,left,1.3531064957952892,weber_violated
60,4,8,left,left,0.7123621282783521,weber_violated
61,4,2,right,right,1.1428046747359444,weber_violated
62,4,2,right,right,0.7413458523267067,weber_violated
63,4,2,right,right,1.0580262498941957,weber_violated
64,4,2,right,right,1.048983596826104,weber_violated
65,4,2,right,right,0.8979492162730038,weber_violated
66,4,2,right,right,0.7344726331314189,weber_violated
67,4,2,right,right,1.2944156051079236,weber_violated
68,4,2,right,right,0.9651694152995998,weber_violated
69,4,2,right,right,0.8692304360587864,weber_violated
70,4,2,right,right,0.8903927010027142,weber_violated
71,4,3,right,right,1.2895335986531593,weber_violated
72,4,3,right,right,1.0784403698121345,weber_violated
73,4,3,right,right,1.173323753126663,weber_violated
74,4,3,right,right,1.3840346133634307,weber_violated
75,4,3,right,right,1.9493601535302647,weber_violated
76,4,3,right,right,2.1991727852012875,weber_violated
77,4,3,right,right,1.1836786026060058,weber_violated
78,4,3,right,right,1.9018717023822975,weber_violated
79,4,3,right,right,1.7321805737071738,weber_violated
80,4,3,right,right,1.2279216864715272,weber_violated
81,4,4,right,right,1.2563438607562063,weber_violated
82,4,4,right,left,3.2394022528397755,weber_violated
83,4,4,right,left,1.699119294197601,weber_violated
84,4,4,right,right,1.7306567312729857,weber_violated
85,4,4,right,right,1.4422920655422773,weber_violated
86,4,4,right,right,1.4586495047439783,weber_violated
87,4,4,right,right,4.401296613315274,weber_violated
88,4,4,right,right,1.4862513419882313,weber_violated
89,4,4,right,left,2.2399531988368078,weber_violated
90,4,4,right,right,1.8290820546413329,weber_violated
91,4,6,right,right,4.071084538711853,weber_violated
92,4,6,right,right,3.6491803642205602,weber_violated
93,4,6,right,right,1.400963949447662,weber_violated
94,4,6,right,left,2.453429669254971,weber_violated
95,4,6,right,right,2.6229811524442024,weber_violated
96,4,6,right,right,2.6419537172682515,weber_violated
97,4,6,right,right,1.0989778038416533,weber_violated
98,4,6,right,right,2.792396455926066,weber_violated
99,4,6,right,left,2.5913887298665546,weber_violated
100,4,6,right,left,1.4482960318487652,weber_violated
101,4,7,right,right,1.2915151919339152,weber_violated
102,4,7,right,right,1.411924026960924,weber_violated
103,4,7,right,right,1.924867252611145,weber_violated
104,4,7,right,right,1.0165164958010757,weber_violated
105,4,7,right,right,1.2249821620203412,weber_violated
106,4,7,right,right,1.2089848224529782,weber_violated
107,4,7,right,right,1.2836518923551428,weber_violated
108,4,7,right,right,0.9533685320234502,weber_violated
109,4,7,right,right,1.038172875704963,weber_violated
110,4,7,right,right,1.208766768378558,weber_violated
111,4,8,right,right,1.1968674693721917,weber_violated
112,4,8,right,right,0.7803992459115519,weber_violated
113,4,8,right,right,1.1091795873323416,weber_violated
114,4,8,right,right,1.1336081170165402,weber_violated
115,4,8,right,right,0.7722324695071909,weber_violated
116,4,8,right,right,0.9773255493795139,weber_violated
117,4,8,right,right,1.039708948889063,weber_violated
118,4,8,right,right,1.2995726681003266,weber_violated
119,4,8,right,right,1.1968501220435177,weber_violated
120,4,8,right,right,0.8116885893620756,weber_violated
1,5,2,left,left,1.2107751215080138,weber_violated
2,5,2,left,left,0.9195142409755492,weber_violated
3,5,2,left,left,1.0855075620755836,weber_violated
4,5,2,left,left,0.9169268223602667,weber_violated
5,5,2,left,left,1.1118499060622917,weber_violated
6,5,2,left,left,0.7356765564132164,weber_violated
7,5,2,left,left,1.0151943973145043,weber_violated
8,5,2,left,left,0.9167885745576609,weber_violated
9,5,2,left,left,1.1124796267664654,weber_violated
10,5,2,left,left,0.9842758756807752,weber_violated
11,5,3,left,left,2.433264462085899,weber_violated
12,5,3,left,left,1.133049649669087,weber_violated
13,5,3,left,left,1.1758018061901407,weber_violated
14,5,3,left,left,1.5968291784748487,weber_violated
15,5,3,left,left,1.320543960143611,weber_violated
16,5,3,left,right,1.3023663899131606,weber_violated
17,5,3,left,right,2.41176511679904,weber_violated
18,5,3,left,left,0.9677580190301915,weber_violated
19,5,3,left,left,1.1717682939490848,weber_violated
20,5,3,left,left,1.072213459539641,weber_violated
21,5,4,left,right,2.64448120616752,weber_violated
22,5,4,left,left,1.8118187055179695,weber_violated
23,5,4,left,left,1.2422494796447312,weber_violated
24,5,4,left,right,1.226138654556932,weber_violated
25,5,4,left,left,2.2413041535182225,weber_violated
26,5,4,left,left,1.3793881403563628,weber_violated
27,5,4,left,right,1.7090845565386192,weber_violated
28,5,4,left,left,2.111908027198257,weber_violated
29,5,4,left,left,2.3127926266178203,weber_violated
30,5,4,left,left,2.1497147701546533,weber_violated
31,5,6,left,right,1.9813886240271203,weber_violated
32,5,6,left,right,1.8475029273936852,weber_violated
33,5,6,left,right,3.239918922185895,weber_violated
34,5,6,left,left,1.9895348667186115,weber_violated
35,5,6,left,left,2.0202959568573275,weber_violated
36,5,6,left,right,2.1456567740931227,weber_violated
37,5,6,left,right,2.5275980680217467,weber_violated
38,5,6,left,left,1.6450433299216225,weber_violated
39,5,6,left,left,2.137624018073436,weber_violated
40,5,6,left,left,1.492263085655044,weber_violated
41,5,7,left,left,1.1219174251768043,weber_violated
42,5,7,left,left,1.5182986603937612,weber_violated
43,5,7,left,left,2.00498993708095,weber_violated
44,5,7,left,left,1.6270852810742578,weber_violated
45,5,7,left,left,1.2403869041053326,weber_violated
46,5,7,left,right,1.3012782427625942,weber_violated
47,5,7,left,left,1.234679102236237,weber_violated
48,5,7,left,left,1.1918906388108166,weber_violated
49,5,7,left,left,1.068313291362084,weber_violated
50,5,7,left,left,1.0330283870691872,weber_violated
51,5,8,left,left,1.515125236926392,weber_violated
