trials,participant,valence,S,R,rt,dataset
52,5,8,left,left,1.1506435674712583,weber_violated
53,5,8,left,left,1.0353292395253149,weber_violated
54,5,8,left,left,0.7826389254095296,weber_violated
55,5,8,left,left,0.6439181544180254,weber_violated
56,5,8,left,left,0.8967580314214179,weber_violated
57,5,8,left,left,0.9505879527604764,weber_violated
58,5,8,left,left,1.2397473431029287,weber_violated
59,5,8,left,left,0.9229964754334323,weber_violated
60,5,8,left,right,2.15969876897986,weber_violated
61,5,2,right,right,0.8806575465610151,weber_violated
62,5,2,right,right,0.8491864075630979,weber_violated
63,5,2,right,right,1.1120543186430476,weber_violated
64,5,2,right,right,1.0616617418340193,weber_violated
65,5,2,right,right,0.7613665160926877,weber_violated
66,5,2,right,right,1.1833182304250047,weber_violated
67,5,2,right,right,0.8275583482656093,weber_violated
68,5,2,right,right,0.9848446302510927,weber_violated
69,5,2,right,right,0.9731636251374911,weber_violated
70,5,2,right,right,0.7742212298459319,weber_violated
71,5,3,right,right,1.4701984990315213,weber_violated
72,5,3,right,right,1.2958532902682545,weber_violated
73,5,3,right,left,1.2861137198012467,weber_violated
74,5,3,right,right,0.9652252492103219,weber_violated
75,5,3,right,right,1.391398679463599,weber_violated
76,5,3,right,right,1.3687815886927495,weber_violated
77,5,3,right,right,0.9591707890710985,weber_violated
78,5,3,right,left,2.2221476839402814,weber_violated
79,5,3,right,right,1.712479079671559,weber_violated
80,5,3,right,right,2.012471291249973,weber_violated
81,5,4,right,right,1.6518830530254303,weber_violated
82,5,4,right,right,1.9387701685132668,weber_violated
83,5,4,right,right,1.8445765979262174,weber_violated
